,Velocity
0,-1532.0155249508136
1,-1529.3953349218066
2,-1526.7751676768705
3,-1524.1550232157954
4,-1521.5349015384065
5,-1518.9148026444586
6,-1516.2947265337766
7,-1513.6746732061856
8,-1511.054642661475
9,-1508.4346348994359
10,-1505.8146499198572
11,-1503.1946877225644
12,-1500.5747483073471
13,-1497.9548316740306
14,-1495.3349378224048
15,-1492.7150667522596
16,-1490.09521846342
17,-1487.4753929556407
18,-1484.8555902287824
19,-1482.2358102825997
20,-1479.6160531169173
21,-1476.9963187315254
22,-1474.3766071262494
23,-1471.7569183008789
24,-1469.1372522552037
25,-1466.5176089890494
26,-1463.8979885022059
27,-1461.2783907944624
28,-1458.6588158656452
29,-1456.0392637155085
30,-1453.4197343439123
31,-1450.800227750612
32,-1448.1807439354327
33,-1445.5612828981991
34,-1442.9418446386662
35,-1440.3224291566594
36,-1437.7030364520033
37,-1435.0836665244537
38,-1432.464319373835
39,-1429.8449949999722
40,-1427.225693402621
41,-1424.6064145816408
42,-1421.987158536787
43,-1419.3679252678846
44,-1416.748714774724
45,-1414.1295270570945
46,-1411.510362114822
47,-1408.8912199476963
48,-1406.2721005555074
49,-1403.6530039380805
50,-1401.0339300952055
51,-1398.4148790267075
52,-1395.7958507323422
53,-1393.176845211934
54,-1390.5578624653085
55,-1387.938902492255
56,-1385.3199652925648
57,-1382.7010508660273
58,-1380.0821592124678
59,-1377.4632903316763
60,-1374.844444223478
61,-1372.225620887628
62,-1369.606820323987
63,-1366.988042532309
64,-1364.3692875124202
65,-1361.7505552641103
66,-1359.1318457872044
67,-1356.5131590814576
68,-1353.8944951467306
69,-1351.275853982778
70,-1348.6572355894252
71,-1346.0386399664621
72,-1343.4200671137146
73,-1340.8015170309718
74,-1338.1829897180248
75,-1335.5644851746636
76,-1332.946003400713
77,-1330.3275443959635
78,-1327.70910816024
79,-1325.0906946933333
80,-1322.472303995033
81,-1319.8539360651644
82,-1317.235590903518
83,-1314.6172685098838
84,-1311.9989688840521
85,-1309.380692025848
86,-1306.762437935097
87,-1304.1442066115542
88,-1301.5259980550447
89,-1298.9078122653586
90,-1296.2896492423215
91,-1293.6715089857234
92,-1291.0533914953546
93,-1288.4352967710406
94,-1285.817224812571
95,-1283.199175619737
96,-1280.581149192363
97,-1277.9631455302394
98,-1275.345164633157
99,-1272.7272065009406
100,-1270.1092711333808
101,-1267.4913585302675
102,-1264.8734686914263
103,-1262.2556016166122
104,-1259.6377573056855
105,-1257.0199357584017
106,-1254.402136974586
107,-1251.7843609540637
108,-1249.1666076965903
109,-1246.5488772019908
110,-1243.9311694700903
111,-1241.3134845006448
112,-1238.6958222934788
113,-1236.0781828484185
114,-1233.4605661652186
115,-1230.8429722437045
116,-1228.2254010837014
117,-1225.6078526849653
118,-1222.9903270473558
119,-1220.3728241706285
120,-1217.7553440546087
121,-1215.137886699087
122,-1212.5204521038534
123,-1209.9030402687335
124,-1207.2856511935172
125,-1204.6682848779953
